[2026-07-29T08:00:55.441Z] GET http://localhost:8917/ → 200 (2ms, 13234B)
[2026-07-29T08:00:55.452Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&family=Inter:wght@400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap → 200 (143ms, 1540B)
[2026-07-29T08:00:55.452Z] GET http://localhost:8917/styles.css → 200 (5ms, 12539B)
[2026-07-29T08:00:55.452Z] GET http://localhost:8917/script.js → 200 (7ms, 1583B)
[2026-07-29T08:00:55.664Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3vAOwlBFgg.woff2 → 200 (184ms, 15737B)
[2026-07-29T08:00:55.664Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (200ms, 14826B)
[2026-07-29T08:00:55.664Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYg.woff2 → 200 (200ms, 21599B)
[2026-07-29T08:00:55.664Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (174ms, 48807B)
[2026-07-29T08:00:55.664Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (202ms, 15007B)
[2026-07-29T08:03:19.601Z] GET http://localhost:8917/ → 200 (3ms, 13297B)
[2026-07-29T08:03:19.631Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&family=Inter:wght@400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-07-29T08:03:19.632Z] GET http://localhost:8917/styles.css → 200 (?ms, 12613B)
[2026-07-29T08:03:19.632Z] GET http://localhost:8917/script.js → 304 (2ms, ?B)
[2026-07-29T08:03:19.651Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:19.652Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:19.654Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3vAOwlBFgg.woff2 → 200 (?ms, -813B)
[2026-07-29T08:03:19.654Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:19.654Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYg.woff2 → 200 (1ms, -815B)
[2026-07-29T08:03:45.128Z] GET http://localhost:8917/ → 200 (5ms, ?B)
[2026-07-29T08:03:45.147Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&family=Inter:wght@400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-07-29T08:03:45.148Z] GET http://localhost:8917/styles.css → 304 (2ms, ?B)
[2026-07-29T08:03:45.148Z] GET http://localhost:8917/script.js → 304 (2ms, ?B)
[2026-07-29T08:03:45.168Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:45.169Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:45.170Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3vAOwlBFgg.woff2 → 200 (6ms, -813B)
[2026-07-29T08:03:45.177Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-07-29T08:03:45.177Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYg.woff2 → 200 (?ms, -815B)
[2026-07-29T08:04:24.514Z] GET http://localhost:8917/ → 200 (3ms, ?B)
[2026-07-29T08:04:24.525Z] GET https://fonts.googleapis.com/css2?family=Oswald:wght@500;600;700&family=Inter:wght@400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap → 200 (?ms, -743B)
[2026-07-29T08:04:24.532Z] GET http://localhost:8917/styles.css → 200 (1ms, 12629B)
[2026-07-29T08:04:24.532Z] GET http://localhost:8917/script.js → 304 (3ms, ?B)
[2026-07-29T08:04:24.553Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (?ms, -815B)
[2026-07-29T08:04:24.553Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (4ms, -815B)
[2026-07-29T08:04:24.557Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3vAOwlBFgg.woff2 → 200 (1ms, -813B)
[2026-07-29T08:04:24.558Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (1ms, -815B)
[2026-07-29T08:04:24.559Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYg.woff2 → 200 (?ms, -815B)
